state,date,poverty_absolute
Johor,2022-01-01,4.6
Kedah,2022-01-01,9.0
Kelantan,2022-01-01,13.2
Melaka,2022-01-01,4.2
Negeri Sembilan,2022-01-01,4.4
Pahang,2022-01-01,6.3
Perak,2022-01-01,7.5
Perlis,2022-01-01,4.0
Pulau Pinang,2022-01-01,2.0
Sabah,2022-01-01,19.7
Sarawak,2022-01-01,10.8
Selangor,2022-01-01,1.5
Terengganu,2022-01-01,6.2
W.P. Kuala Lumpur,2022-01-01,1.4
W.P. Labuan,2022-01-01,2.5
W.P. Putrajaya,2022-01-01,0.1
